Median Household Income by State by Age of Householder,,,,,,,,
State,Under 25 Years,Margin Of Error,25 to 44 Years,Margin Of Error,45 to 64 Years,Margin Of Error,65 Years and Over,Margin Of Error
New Hampshire,"$37,693 ","+/- $3,295","$78,524 ","+/- $1,359","$85,853 ","+/- $1,306","$47,951 ",+/- $657
New Jersey,"$35,428 ","+/- $1,223","$82,607 ",+/- $592,"$94,093 ",+/- $668,"$49,470 ",+/- $392
New Mexico,"$26,158 ","+/- $1,017","$48,852 ",+/- $881,"$54,948 ",+/- $840,"$39,073 ",+/- $699
New York,"$31,397 ",+/- $576,"$70,604 ",+/- $459,"$75,198 ",+/- $375,"$42,185 ",+/- $260
North Carolina,"$27,273 ",+/- $563,"$54,029 ",+/- $413,"$59,791 ",+/- $478,"$38,466 ",+/- $232
North Dakota,"$34,507 ","+/- $2,289","$71,484 ","+/- $1,323","$77,513 ","+/- $1,253","$39,740 ","+/- $1,030"
Ohio,"$26,288 ",+/- $486,"$58,447 ",+/- $441,"$64,232 ",+/- $362,"$38,738 ",+/- $237
Oklahoma,"$28,089 ",+/- $915,"$54,376 ",+/- $412,"$59,025 ",+/- $546,"$38,428 ",+/- $300
Oregon,"$27,883 ",+/- $923,"$62,034 ",+/- $644,"$67,130 ",+/- $603,"$42,587 ",+/- $411
Pennsylvania,"$26,868 ",+/- $449,"$64,784 ",+/- $465,"$70,545 ",+/- $405,"$38,737 ",+/- $237
Puerto Rico,"$6,884 ",+/- $622,"$22,310 ",+/- $451,"$23,156 ",+/- $316,"$16,674 ",+/- $202
Rhode Island,"$27,149 ","+/- $2,161","$65,219 ","+/- $1,321","$76,657 ","+/- $1,489","$40,768 ",+/- $893
South Carolina,"$25,773 ",+/- $713,"$52,106 ",+/- $484,"$56,700 ",+/- $546,"$39,325 ",+/- $396
South Dakota,"$32,767 ","+/- $1,313","$61,408 ",+/- $952,"$65,339 ","+/- $1,085","$38,866 ",+/- $897
Tennessee,"$27,001 ",+/- $583,"$53,066 ",+/- $441,"$56,823 ",+/- $437,"$37,586 ",+/- $311
Texas,"$29,954 ",+/- $406,"$60,769 ",+/- $276,"$68,525 ",+/- $392,"$41,784 ",+/- $209
Utah,"$35,681 ",+/- $938,"$68,600 ",+/- $702,"$81,185 ",+/- $809,"$49,026 ",+/- $666
Vermont,"$31,609 ","+/- $2,341","$65,398 ","+/- $1,262","$68,377 ","+/- $1,324","$40,774 ",+/- $884
Virginia,"$32,664 ",+/- $866,"$73,864 ",+/- $547,"$83,327 ",+/- $513,"$49,411 ",+/- $381
Washington,"$35,004 ",+/- $999,"$72,646 ",+/- $473,"$80,104 ",+/- $630,"$47,130 ",+/- $407
West Virginia,"$22,020 ","+/- $1,180","$51,412 ",+/- $755,"$51,868 ",+/- $656,"$34,551 ",+/- $469
Wisconsin,"$29,722 ",+/- $730,"$63,956 ",+/- $532,"$70,548 ",+/- $438,"$38,753 ",+/- $275
Wyoming,"$29,991 ","+/- $2,652","$70,759 ","+/- $1,848","$73,103 ","+/- $1,468","$41,750 ","+/- $1,411"
"Source(s): U.S. Census Bureau, 2013-2017 American Community Survey 5-Year Estimates 
 Powered by the U.S. Census Bureau
 Data may contain sampling error. Sampling error and margin of errormay render some of the differences between geographies statistically insignificant.An 'X' entry indicates that either no sample observations or too few sample observations were available to compute an estimate.Note that an 'X' entry in other US Census Bureau tables could indicate a different issue.
  ",,,,,,,,
